tiktoker name,tiktok name,followers,views(avg.),likes(avg.),comments(avg.),shares(avg.)
nabela,nabela,7.2m,5.4m,627.1k,2.6k,1.2k
alexwaarren,alex warren,15.2m,4.6m,769k,1.3k,2.3k
ayesebastien,sebastien,7.2m,3.1m,565.3k,2.8k,4.6k
jamie32bsh,jamie big sorrel hor,7.1m,5.8m,313.6k,4.7k,2.2k
maxthemeatguy,max the meat guy,3.8m,6.2m,681.9k,1.7k,1.2k
andy.and.michelle,andy & michelle,3.7m,3.1m,438.1k,2.8k,6.1k
realmsp,realmsp,349.1k,4.9m,771.9k,2k,1.1k
gameofthrones,game of thrones,647.3k,3m,359.5k,1.9k,9k
ameliadimz,ameliadimz,1.3m,3.7m,529.8k,4.1k,1.8k
chris,chris olsen,7.2m,6.1m,712.1k,1.6k,1.1k
isaach.p,isaac h.p,1.6m,2.4m,230k,11k,9.7k
billlnai,nai,8.4m,3.1m,797.1k,3.2k,1.4k
samseats,sam way,8.7m,3.6m,618.5k,2.8k,2.2k
soysuco_ff,suco ismael,3.7m,3.4m,430.5k,6.6k,981
gaynadia,nadia,287.9k,2.2m,583.8k,4.4k,4.1k
thatlittlepuff,thatlittlepuff,25m,5.1m,612.9k,1.4k,2.1k
lachama4_ff,la chama ᴰ,8.3m,2.9m,477k,7.3k,693
envydo,envy,198.7k,1.8m,476.1k,9.2k,3.3k
k1lauea,killazz,128.2k,1.8m,451.4k,9.1k,3.7k
noreportar08,noreportar08,265.3k,4m,104.9k,11.1k,12.9k
elrodcontreras,rod🥴,40.1m,3.3m,521k,4.8k,1k
k1lauea,killazz,128.2k,1.8m,451.4k,9.1k,3.7k
noreportar08,noreportar08,265.3k,4m,104.9k,11.1k,12.9k
elrodcontreras,rod🥴,40.1m,3.3m,521k,4.8k,1k
kpp2179393999,きゃりーぱみゅぱみゅの裏垢,834.9k,6.5m,345.5k,1.3k,3.2k
elgato,rodrigo el gato,3.2m,3.3m,454k,4k,2.7k
carolfermichh,carolfermichh,6.2m,4.3m,664.8k,2.4k,1.1k
montpantoja,montpantoja,32.3m,3.5m,652.5k,3.2k,1.2k
mmmjoemele,joe mele,21m,4.3m,608.4k,2.2k,1.5k
1xgoku,goku,74.8k,1.9m,345.6k,2.5k,12.2k
anthonnyswagg3,anthonnyswagg,8.5m,8.1m,469.6k,1.7k,797
bjjojo_,j🐞j🦋fan,61.6k,2m,354.5k,6.2k,7.3k
uberkuloz,berk keklik,1m,5.2m,394.7k,2.1k,2.5k
nilskue,nils kuesel,9.5m,2.6m,515.4k,5.2k,1.8k
mcsilsiloficial,@mcsilsiloficial,5.8m,2.6m,201.7k,4.7k,13.7k
labrinth,labrinth,924.9k,4.2m,416.9k,3.4k,1.9k
oilywhitehat,🔌,197.3k,5.5m,373.5k,3.1k,1.4k
jacksepticeye,jacksepticeye,4.2m,2.9m,512.7k,4.3k,1.9k
marisol.viola,marisol viola,1.1m,2.6m,504.8k,4.1k,3.1k
strangehumano,strangehumman nova,7.8m,3.2m,386.3k,4.5k,3k
playboyjuju,🕷,259.4k,3.3m,291.2k,5.5k,4.2k
itsjessibaby,jessi,5m,3.1m,738.5k,3.2k,835
bbykevv_,kevin nguyen,1.6m,3.2m,633.1k,2.1k,2.4k
nykolasteles,nykolas teles,3.8m,2.7m,368.8k,5.8k,3.4k
morimura,morimura🍕,6.4m,2.2m,483k,4.4k,4.1k
danisoomin,daniela kim,8.4m,3.4m,492.7k,4.1k,1.2k
tenderlybaemusic,tenderlybae,14.4m,3.6m,409.5k,4.6k,1.5k
ig_alongwiranda,🕌🏃,880.7k,3.2m,129.4k,1.2k,20k
crisdevilgamer7,crisdevilgamer,4.5m,3.5m,388.1k,5.2k,1.2k
meishmoe,meishmoe,3.9m,2.5m,534.5k,2.4k,4.1k
