tiktoker name,tiktok name,followers,views(avg.),likes(avg.),comments(avg.),shares(avg.)
pjmxck,𝐂𝐡𝐢𝐤𝐚⁷,1m,738.7k,263.2k,2.7k,5k
kamashrafi,kamran,48.2k,1.2m,231.6k,2.6k,2.8k
najihmumtaz,najih mumtaz945,682.3k,1.6m,93.9k,4.5k,5.5k
chelseahartisme,chelsea hart,1.5m,3.5m,138.9k,0,3.1k
gheayoubi08,gheayoubi,7.9m,3.2m,171.1k,1.2k,1.6k
annaxsitar,anna x,11.6m,3m,461.2k,723,381
y.i.m_,отборный юмор и комедия 🎭,177.5k,1.4m,121.3k,1.2k,7.7k
matsu_kusarine,ラブマツ (lovematsu),563.9k,2.9m,186.4k,1.8k,1k
beinsports,beinsports,1.2m,1.7m,213.8k,2.2k,1.9k
_mister_z,marco zedda,4.5m,1.6m,272.2k,2.4k,995
.shuberrr,максончиq,5.8k,2m,152.7k,2.1k,2.8k
maharanikemala,maharanikemala,3.2m,2.5m,156.2k,1.8k,2k
analisseworld,analisseworld,9.9m,2.1m,328.9k,967,1.2k
jairsanchezzz,jair sanchez,6.2m,1.3m,226.9k,1.8k,3.5k
machikayt,machikayt,12m,1.9m,291.1k,2.2k,558
michaelrendyw,michael rendy w,4.6m,3.9m,293.6k,740,558
dobretwins,lucas and marcus,35.2m,1.8m,221.4k,3.3k,498
swagboyq,swagboyq on ig,23.4m,3m,216.6k,1.4k,858
xoomid,xoomid,8.2k,1.1m,135.3k,4.2k,5.7k
_nch04,𝐍𝐠𝐮𝐲𝐞̂̃𝐧 𝐇𝐚̉𝐢,4.8m,2.5m,209.1k,1.4k,1.4k
davidgalvanv,david galván,3.9m,2.6m,244.2k,1.5k,807
usernamepuntaktahu,ceo of sekolah,587.7k,2.2m,293.3k,1.7k,595
primkung007,primkung,2.1m,1.4m,259.9k,3.5k,575
isabelgiannuzzi,isabel,1.1m,3.5m,298.1k,1.2k,187
baileyspinn,bailey,11.1m,2.3m,296.1k,2k,137
summerwalker,summer walker,1.6m,1.1m,199.2k,3.3k,3.3k
huynh_quang_6767,huỳnh quang - bảo ngọc,457.6k,2.1m,185.6k,3.4k,337
bs_fo4eek,fo4eek,36.9k,1.9m,158.8k,2.6k,2.1k
carloandsarah,nan,3.3m,2.4m,188.4k,1.2k,1.9k
nadaakkhaledd,nada khaled,2.7m,2.1m,275.9k,1.3k,1.1k
ups,ups,92.6k,1.2m,136.7k,2.2k,6.3k
ninja,ninja,8.3m,2.3m,216.2k,1.6k,1.4k
attahalilintar,atta halilintar,10.1m,2.6m,288.9k,1.3k,661
nam.per,nam per,1.6m,2.5m,225k,1.5k,987
leal_stephany,stephany leal,13.1m,1.7m,351.2k,738,1.6k
lucaslopezvilet,lucas lopez,2.4m,1.3m,191.4k,1.3k,4.5k
vlad.hoshin,hoshin,11.4m,1.1m,250.8k,4.1k,1k
kauanahofem,kau,7m,1.8m,262.9k,1.8k,1.2k
xolyssarosexo,lyssa,60.1k,1.6m,92.6k,8.7k,1.1k
joe.bartolozzi,joe bartolozzi,17.8m,1.5m,296.7k,2.8k,376
maxkhadarr,max khadar,1.3m,1.1m,197.6k,3k,3.4k
jacksonaces,jackson aces magic🎩,6.2m,1.5m,93k,3k,6.9k
ninjagirldraws,dania,3.6m,1.7m,147.1k,2k,3.5k
trien.13,triển chill,491.4k,1.3m,177.1k,3.9k,2.1k
connordewolfe,connor dewolfe,5.3m,1.1m,276k,1.5k,3k
loupernaut,lou pernaut,1.3m,2.4m,280.7k,1.8k,198
bxyeditss,[panyo ni irene],419.4k,1.1m,202.5k,2.8k,3.4k
totochegang,anto,1.4m,1.4m,275.4k,1.4k,2.3k
luciiasanese,lu,30.1k,1.2m,186.9k,2.7k,3.6k
nickandcarrie,nick&carrie,5.6m,1.9m,290.5k,1k,1.5k
juanchimy,juan lopez,2.7m,1.4m,325.1k,1.7k,1.3k
bene.schulz,bene,5.7m,2m,254.6k,1.6k,1.1k
com.amugiri2,【コムドット】あむぎり,712.3k,1.3m,200.1k,3.8k,1.4k
goldwin.reyes,goldwin reyes,1.5m,2.5m,335.3k,964,659
lulu_pt,lulu,299.6k,1.9m,223.9k,921,2.2k
itskingchris,kingchristian,15.3m,1.4m,258.6k,2.2k,1.7k
fahmi.nm,fahmi,7.6m,2.2m,237.4k,1.8k,748
farhanrn__,farhan,3.8m,1.7m,281.9k,1.8k,1k
liltjay,lil tjay,4.4m,1.8m,221.2k,2.7k,775
vilmeijuga,vilmei✨,8.4m,1.7m,169.2k,3.5k,1.1k
faryanggaa,ryann,4.4m,1.7m,272.2k,1.9k,1k
gordeewa__13,вечно изящная,9.5m,2.6m,214.5k,1.8k,604
fadiljaidi,fadil jaidi,7.5m,2.5m,351.6k,967,543
darianrojasc,d a r i a nr o j a s,29.4m,3.1m,445k,575,385
ibaillanos,ibai,8.9m,1.5m,260.5k,1.3k,2k
tsezy,tommy,4.8m,2m,253.5k,1.9k,735
linhkool1993,linh kool,4.5m,3.3m,330.3k,954,256
rayanfahmi,rayoon,3.2m,2.2m,192k,2.1k,1.1k
unnecessaryinventions,unnecessaryinvention,4.6m,2.2m,194.6k,2k,1.1k
basementgang,basement gang,5m,1.4m,275.2k,1.4k,2.1k
bessan_esmail,بيسان اسماعيل - bessan ismail,10.1m,1.8m,132.1k,4.2k,1.4k
com.yuma1214,【コムドット】ゆうま,812.7k,1.3m,188.3k,3.9k,1.4k
anggun_core,anggun✨,14.8m,3.6m,178k,1.3k,697
xibibrothers,xibi brothers,7.6m,1.8m,246.5k,888,2k
moni_lina,monilina,14.5m,7.7m,128.1k,367,942
avani,avani,40.4m,1.8m,237.6k,2.1k,874
haijoel,haijoel,409.5k,2.8m,167.7k,2.5k,279
samanthayve,samantha eve,5.8m,1.3m,205.4k,3.4k,1.4k
hoaa.hanassii,đào lê phương hoa,10.8m,1.6m,255.3k,2.4k,695
ryanbakery,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,1.1m,1.6m,171.3k,2.4k,2.4k
djprecise,dj precise,3.4m,1.7m,186.4k,3.1k,897
jeffreestar,jeffree star,2.2m,2.1m,208.4k,2k,872
christiandaloii_,christiandaloii_,2.9m,1.5m,197.4k,2.5k,1.9k
abdullah_eltourky,eltourky 👑,6.7m,2m,235.7k,1.2k,1.4k
oironyoliveira,kbuloso 😈,5.9m,1.3m,87.3k,490,10.9k
lana_mohd89,𝑳𝑨𝑵𝑨 🦋,4.4m,2.1m,161.7k,2.4k,1.2k
lyrico__,ʟʏʀɪᴄᴏ,2.9m,1.1m,105.6k,1.1k,10.1k
beasteater,beasteater,18m,2.7m,248.4k,1.7k,208
nick.digiovanni,nick.digiovanni,8.6m,2.1m,295.3k,1.2k,778
milosramen,jacob🇭🇳,1.3m,2.2m,272.9k,1.4k,665
steveharvey,steve harvey,9.2m,1.8m,176.8k,1.7k,2.4k
ngoanhtan1,bạn tấn chúa tể nỗi buồn,777.6k,1.6m,153.1k,2.7k,2.4k
gemelasabello2,gemelasabello2,13.2m,2.6m,293.2k,693,950
creatorar,arpostt,624.1k,1.7m,141.3k,733,4.4k
vanrezaputra,elaina,320.1k,1.9m,163.3k,2.3k,1.8k
bestluxurycars,bestluxurycars,3k,769.5k,136.9k,1.4k,10.2k
johaanzu,johaanzu,3.6m,1.7m,320.2k,1.6k,716
nelyrall,nelyrall,4.6m,1.1m,214.5k,1.9k,3.5k
leigh_mcnasty,leigh mcclendon,2.8m,1m,157k,1.3k,6.1k
xo4y_remont56,user4538340664186,82.9k,2.7m,67.4k,589,6k
sofarsabi,sofarsabi,5.5m,2.1m,208.4k,2.2k,584
cerolzera,cerol,4.1m,1.7m,180.4k,2.7k,1.3k
animalize21,animalize21🔥,10.3m,2m,248.1k,1.4k,1k
itspierreboo,pierre,12.5m,1.9m,278.3k,1.6k,753
lorengray,loren gray,54.3m,1.8m,248.4k,1.5k,1.2k
football.tonight,football.tonight,391.5k,2m,152.2k,2.3k,1.6k
danielmidas,danielmidas,281.8k,1.4m,119.1k,1.6k,5.5k
laila_mahmoud62,ليلي محمود ♥️,3m,3.4m,204.7k,772,931
quintongriggs,q u i n t o n,6.4m,1.4m,169.8k,3.3k,1.7k
erictro,eric tro,2.2m,3.7m,358.8k,453,438
doongool,🔥dongol🔥,3.1m,2.2m,255k,1.1k,1k
madozilla,mad,5.7m,888.9k,194.4k,3.9k,2.9k
anxietycouple,anxiety couple,10.7m,2.6m,274.9k,765,886
nildachiaraviglio,nildachiaraviglio,798.9k,1.3m,117.9k,723,7k
haccon.01,𝐇𝐚̣𝐜 𝐂𝐨𝐧🦩,325.1k,1.9m,157.8k,3.6k,314
fukada0318,深田えいみ,4.6m,2m,150.8k,2.6k,1.3k
ahmedbasyoni,ahmed basyoni,1.2m,1.7m,125.9k,2.4k,3k
sinadeinert,sinadeinert,5.5m,967.7k,207.5k,4.6k,1.2k
austinandlexi,⚡️austin & lexi 💥,3.2m,1.3m,253.3k,1.5k,2k
jayrscottyy,jordan scott,2.3m,900.6k,173.1k,3.7k,3.7k
manja_faiez,manja,593.1k,1.5m,128k,2.2k,3.8k
moontellthat,moontellthat,13.1m,2.3m,156.9k,1.7k,1.6k
baraa.bolat,@baraabolat,1.6m,2.3m,143.9k,2.5k,959
yurika_aruno,danone💕,2.8m,1.3m,209.9k,2.9k,1.3k
360tv,arisha ross,9.9m,2m,162k,3k,461
its.__yara,its._yara,749.5k,1.1m,65.4k,7.3k,8.6k
ava_love33,ava love,2.7m,1.5m,299.5k,2.1k,471
mohaimen.alaa,مهيمن علاء,2.9m,1.2m,190.4k,3.5k,1.5k
officialsalicerose,salice rose,18.6m,1.1m,201.3k,1.8k,3.4k
hisoyvaleria,➖v a l e r i a ➖,6.2m,2.7m,354.7k,803,380
saaihalilintar,saaih halilintar,4.3m,3m,272.4k,893,492
pierson,pierson,12.5m,2m,287k,1.7k,306
mursid241,mursid,2.2m,2.4m,179.1k,2.3k,416
stayc_official,stayc,1.3m,1.6m,181.1k,2.9k,1k
liamsilk,liam silk,6.9m,890.6k,249.6k,2.6k,2.5k
deangerald,𝕯𝖊𝖆𝖓,382k,1.3m,193.9k,607,3.8k
polya_tuti,поля тут🔥👇,2.3m,3.1m,250.6k,711,730
trevorwallace,trevor wallace,7.3m,1.5m,208.7k,759,2.8k
jarvali,jarvis,2.2m,1.2m,251.7k,2.1k,1.6k
gertieinar,gerti & megi,2.5m,4m,162.3k,904,835
_angelomarasigan,angelo,484k,1.4m,206.7k,2.1k,1.8k
lupinelakes,lupine,81.4k,1.9m,376.2k,781,811
jauncydev,jonny devaney,1.5m,1.1m,172k,1.3k,4.6k
ivoryowl,makayla,1.1m,1.4m,238k,1.8k,1.5k
joshrichards,josh richards,25.6m,2.2m,297.8k,991,691
haga7_dayo,haga seven/ no war🕊,1.7m,2.8m,120.9k,914,2.3k
itsmenicksmithy2,nick smithyman 😎,9.8m,1.6m,217k,1.9k,1.4k
so_andreyy,so_andrey,541.1k,2.2m,111.8k,537,4k
la.maraaa,la mara,6.1m,959.7k,213.9k,5.1k,277
paulorgds,paulo🌻,375.9k,1.4m,224.9k,1.3k,2.2k
murphslife,aaron murphy,4.7m,1.5m,173.4k,1.4k,2.8k
okthatscreepy,okthat’screepy,366.8k,3.1m,144.3k,1.2k,1.3k
dylanpage.ning,dylan page,2.5m,1.2m,196.9k,2.8k,1.9k
fabiola.baglieri,𝐹𝑎𝑏𝑖𝑜𝑙𝑎,11.6m,2.4m,288.7k,1.3k,294
tnt_500,ทาจิมานะ เรียว,24.1k,1.7m,236.5k,1.2k,1.6k
rawanfahmii,rawan,3.4m,1.8m,189.7k,1.7k,1.5k
bigcheese8581,matt “big cheese”,7.6k,1.3m,187.3k,581,4k
demin02_,никита,1m,1.4m,223.4k,1.9k,1.6k
charlyokei,charlyy,3.7m,2.4m,300.1k,914,583
pollyjaewebster,polly-jae,158.4k,1.6m,188.8k,2.2k,1.4k
leventgeiger,levent geiger,3.1m,1.2m,165.5k,2.6k,2.9k
floofnoodles,floofnoodles,17m,1.3m,154k,1.8k,3.8k
stwartabdala,•  r a t o n c i t o 🧀🐁,538.8k,932.6k,79.2k,905,13.6k
com.yuta0305,【コムドット】ゆうた,1m,949.1k,179.7k,4.3k,2k
kxmzzzy,kxmz,370.1k,2m,218.3k,999,1.4k
faulox_,faulox,6.8m,1.7m,172.4k,2.7k,1k
yourrkayesss,kayess,4.8m,1.1m,169k,3.2k,2.8k
oliviaalpert,olivia alpert,52.7k,2.6m,139.1k,1.9k,996
brodywellmaker,brody wellmaker,20.3m,1.8m,229.8k,1.3k,1.3k
ranierao,rani,18.1k,929.9k,251.6k,2.6k,1.9k
antrobo10,anthony,545k,850.4k,128.1k,2.3k,7.2k
therealmaneskin,måneskin,5.4m,1.1m,214k,2.9k,1.5k
gustavomeloof,gustavo melo,4.6m,1.2m,86.8k,1.3k,8.6k
samsamne0,sam samm,709.4k,2.1m,187.7k,1.8k,893
bassant33,🔥bassantofficial🔥,4.5m,2.7m,162.2k,1.6k,793
aichangemoy_,yt : aichan tv,6.6m,1.7m,191.2k,2.5k,680
jaytorresss,jay torres,3.8m,1.8m,242.7k,844,1.6k
xvusex,t,21.1k,951.6k,199.1k,1.3k,4.1k
sibenitoo,sibenitoo,4.7m,2.2m,140k,1.7k,1.7k
jumpersjump,jumpers jump podcast,6.4m,2.1m,220.1k,1.7k,486
williesalim,willie salim,8.3m,1.9m,148.2k,2.9k,713
itsari.aleise,arianna hailey,11.8m,1.7m,322.8k,1.6k,359
arilbjn,mochamad,51.3k,1.3m,221.9k,955,2.7k
camxnie,cam & nie,3.2m,1.4m,173.9k,544,3.7k
cristobalsoria,cristóbal soria,572k,1.2m,120.2k,4.4k,2.7k
japeth023,japeth023,557.9k,1.5m,194.2k,1.6k,1.9k
venao2323,yanfry el tierno🙈,4.2m,1.5m,166.6k,1k,3k
kuki_yt,kuki_youtube,1.8m,1.5m,315.7k,1.3k,774
ozikoy,koy,6.9m,2.2m,186.4k,1.2k,1.3k
swaghoe666,tik toker,1.4m,2.1m,306.5k,1.1k,501
robsonabreu,robson abreu,3.2m,1.4m,82k,8.3k,470
juliagisella,julia gisella,10.2m,784.4k,186.9k,3.1k,3.7k
andreslleal,andrés leal,2.8m,1.7m,91.6k,3.7k,2.9k
gabryellurlan,gabryell urlan,6.8m,1.4m,221.9k,1.2k,2.1k
kagramanana,kagramana,6.2m,1.2m,184.1k,1k,3.5k
yizaroff,yizaro,4m,1.4m,225.1k,2.6k,611
adamw,adam w,15.7m,1.8m,179.5k,1.1k,1.9k
xoteam,xo team,32.1m,2.1m,222.9k,1.6k,481
saydenseay,sayden,3.3m,938.9k,257.3k,1.6k,2.5k
justthenobodys,justthenobodys,7.1m,1.4m,175.8k,2.2k,1.8k
snerixx,sam erix,8m,1.9m,369.2k,1k,361
valenrewah,valent,7.5m,2.4m,272.6k,929,605
cheekyboyos,the cheeky boyos,10.9m,1.8m,252.8k,1.3k,867
cokodive,cokodive,188.5k,871.1k,172.5k,2.8k,3.7k
_tusya_kiskis,_tusya_kiskis,6.7m,1.4m,161.2k,1.5k,2.8k
danaandthewolf,danaandthewolf,187.3k,2.5m,252.5k,824,712
pakoyaso_,pakoyaso,9.5m,1.8m,216.1k,1.2k,1.4k
zhenyalavrik,переезд в турцию 🇹🇷,364.5k,3.2m,69.4k,1.8k,2.6k
teukuryantr,teukuryantr,3.1m,1.7m,236.8k,1.3k,1.1k
jamescharles,james charles,36.1m,1.7m,191.6k,2.2k,752
zhenyalavrik,переезд в турцию 🇹🇷,364.5k,3.2m,69.4k,1.8k,2.6k
teukuryantr,teukuryantr,3.1m,1.7m,236.8k,1.3k,1.1k
jamescharles,james charles,36.1m,1.7m,191.6k,2.2k,752
cardncyn,carddd,1.5m,2.5m,271.1k,791,623
mariahandbill,mariah and bill ღ,13.9m,2.7m,217.8k,1.2k,462
jamal.jamael,karim jamal,2.6m,1.4m,203.4k,2.4k,991
nastasyashinee,🇮🇩 bagus istri 🇮🇩,4.9m,2.5m,154.5k,1.6k,880
riska_nurwidia,riska nur widia,2.6m,2.5m,276.8k,623,755
ermo1enko,🖤твоя вечеринка🖤,1.7m,1.7m,326.3k,870,849
mackenzieziegler,mackenzie ziegler,22.1m,2.1m,325.5k,1k,380
yarenalaca,yaren alaca,5.4m,1.6m,119.2k,4.6k,513
gabrielvalland,gabriel valland,958.2k,1.1m,257.9k,1.7k,1.7k
judiitharias,judith & ángel 🙋🏻‍♀️🙋🏽‍♂️,15.7m,3.1m,302k,763,249
adamrayokay,adamray,6.8m,1.9m,217.6k,1.7k,629
ethob0t,ethobot,534.2k,2.4m,203.1k,1.3k,668
soylapizito,lapizito,13.3m,2.1m,277.2k,1.2k,442
fadeewa_makeup,фадеева🦞,760.2k,1.3m,113.2k,1.7k,4.6k
rosssmith,ross smith,21.8m,1.4m,263.3k,814,1.7k
bentleybuilds,bentley bastian,72k,3.1m,77.6k,826,3.1k
edwinmendozza,𝖊𝖉𝖜𝖎𝖓,14.2m,1.8m,393.6k,1k,349
cocielo,júlio cocielo,4.3m,1.3m,204.6k,1.5k,2k
riqqo_,riqqo_,66k,2.9m,170.3k,1.5k,361
lgndfrvr,lgndfrvr,15.8m,1.9m,241.3k,670,1.3k
jajad5,jajad5,630.8k,982.4k,263.8k,2.1k,1.5k
cocinaconcoqui,cocinaconcoqui,2m,1.4m,278.3k,628,1.7k
rucenuenda1,ruce nuenda,1.1m,1.6m,280.9k,1.5k,589
thaotaotau,phương thảo,5.1m,2.5m,267.9k,1.2k,237
brycehall,bryce hall,21.3m,2.4m,283.2k,901,476
just_dt,dt,8.9m,1.1m,198.6k,1.8k,2.5k
seleterr,seleterr,27.1k,1.5m,180.5k,807,2.5k
teamsport_philipp,teamsport_philipp,23.2k,957.2k,140.4k,2.1k,4.6k
arananadam38,okan taşdemir,175.1k,2m,60k,967,6.6k
mngnzls,mona,13m,2.6m,191.1k,1.5k,310
niico_pr,миша,1.1m,1.4m,197.7k,1.9k,1.3k
keemokazi,keemokazi,26m,2.1m,256k,1.4k,293
vivi,vivi,10.3m,1.7m,224.7k,2k,412
german_crusader,stardust crusader,99k,902.5k,149k,1.6k,5.1k
whitehernandez,blanca hernández,112.6k,1.4m,229.7k,1.4k,1.4k
shyazryne,aeiou,86.2k,2.9m,316k,595,373
rozhkova.olesya,roozhkova,850k,1.5m,197.2k,964,2.1k
mosqvin_,та самая училка❤️🔥,2.6m,1.9m,348.5k,714,637
sepultacion,mari,6.4m,1.3m,301.4k,1.9k,404
kaansanity,aakaanksh,4.9m,1.1m,86.4k,569,8.8k
dizzlipin,dizzlipin,909.6k,1.9m,79.9k,5.5k,356
aldomirandar,😂 aldo miranda 😂,8.4m,1.3m,212.7k,605,2.7k
nicolebernaal,nicolebernaal,4m,2.2m,351.3k,957,195
bellaretamosa,bella,5.1m,2.5m,340.4k,901,145
tunico80,🌠antonio tonon🌠,5.8m,1m,206.8k,2k,2.1k
armon.warren,armoney,1.2m,1.9m,300.8k,904,630
soanhvadiephihi,soanh x diệp 💎,1.6m,2.6m,273.2k,720,530
