name,followers,engagement_avg,platform
amybethmcnulty,63000000,0.08911111111111111,Instagram
ana_d_armas,61000000,0.08908196721311476,Instagram
ananyapanday,219000000,0.014529680365296803,Instagram
anasmarwah,55000000,0.0785090909090909,Instagram
andreavaldirisos,77000000,0.053415584415584416,Instagram
andresiniesta8,39000000,0.02346153846153846,Instagram
angela_aguilar_,82000000,0.03481707317073171,Instagram
angeldimariajm,163000000,0.01807361963190184,Instagram
angelinajolie,126000000,0.021793650793650792,Instagram
angelinajolie,126000000,0.021793650793650792,Instagram
angeliqueboyer,139000000,0.017798561151079136,Instagram
angelrai07,149000000,0.031020134228187918,Instagram
anguscloud,83000000,0.1566265060240964,Instagram
anitta,611000000,0.00888379705400982,Instagram
anjimaxuofficially,111000000,0.015612612612612613,Instagram
annakendrick47,203000000,0.0010344827586206897,Instagram
annecurtissmith,178000000,0.007567415730337078,Instagram
annehathaway,226000000,0.031163716814159293,Instagram
annemarie,92000000,0.026358695652173914,Instagram
ansufati,8000000,0.594,Instagram
anthonyjoshua,136000000,0.0010441176470588236,Instagram
antogriezmann,355000000,0.005783098591549296,Instagram
antonelaroccuzzo,19000000,0.5108947368421053,Instagram
anuel,279000000,0.002100358422939068,Instagram
anupamaparameswaran96,114000000,0.0447719298245614,Instagram
anushkasen0408,345000000,0.010988405797101449,Instagram
anushkasharma,575000000,0.019130434782608695,Instagram
anyageraldine,107000000,0.017037383177570094,Instagram
anyataylorjoy,88000000,0.07722727272727273,Instagram
aoc,85000000,0.03412941176470588,Instagram
apple,274000000,0.0030437956204379564,Instagram
araikgalstyanmoscowschool,13000000,0.024846153846153848,Instagram
arianagrande,3023000000,0.00959311941779689,Instagram
arigameplays,97000000,0.09284536082474226,Instagram
arishfakhan138,28000000,0.06539285714285714,Instagram
arminzareeiofficial,95000000,0.018789473684210526,Instagram
aron.piper,139000000,0.019647482014388488,Instagram
arsenal,215000000,0.0037162790697674417,Instagram
arthuraguiar,127000000,0.008196850393700788,Instagram
asalamaleh,66000000,0.06301515151515151,Instagram
asaprocky,146000000,0.026273972602739726,Instagram
ashishchanchlani,133000000,0.06260150375939849,Instagram
ashleybenson,224000000,0.0004508928571428571,Instagram
ashleygraham,172000000,0.02283139534883721,Instagram
aslisona,214000000,0.005149532710280374,Instagram
ateez_official_,63000000,0.06522222222222222,Instagram
attahalilintar,231000000,0.006069264069264069,Instagram
auba,12000000,0.3160833333333333,Instagram
aum_patchrapa,141000000,0.010659574468085107,Instagram
aurelie.hermansyah,253000000,0.018782608695652174,Instagram
avani,188000000,0.0017925531914893618,Instagram
avneetkaur_13,305000000,0.009222950819672131,Instagram
avrillavigne,107000000,0.019738317757009346,Instagram
awez_darbar,178000000,0.002617977528089888,Instagram
aykutelmas,68000000,0.004720588235294118,Instagram
badbunnypr,385000000,0.06493506493506493,Instagram
badgalriri,1251000000,0.02238209432454037,Instagram
baifernbah,104000000,0.021586538461538463,Instagram
bambam1a,16000000,0.4276875,Instagram
barackobama,354000000,0.0041892655367231635,Instagram
barbieferreira,61000000,0.10418032786885247,Instagram
bbrightvc,135000000,0.1259259259259259,Instagram
bclsinclair,202000000,0.007599009900990099,Instagram
beberexha,108000000,0.02050925925925926,Instagram
bebytsabina,71000000,0.03428169014084507,Instagram
beingsalmankhan,507000000,0.00936094674556213,Instagram
belindapop,149000000,0.009174496644295302,Instagram
bellahadid,506000000,0.011203557312252964,Instagram
bellapoarch,143000000,0.060104895104895105,Instagram
bellathorne,252000000,0.011488095238095238,Instagram
bernardokath,168000000,0.026946428571428573,Instagram
beyonce,2469000000,0.010530579181855002,Instagram
bhadbhabie,164000000,0.008725609756097562,Instagram
bhuvan.bam22,142000000,0.0052183098591549295,Instagram
bianca,177000000,0.00415819209039548,Instagram
bibisbeautypalace,78000000,0.04137179487179487,Instagram
bighit_ent,13000000,0.5548461538461539,Instagram
bigsean,146000000,0.011636986301369863,Instagram
billieeilish,1017000000,0.025565388397246803,Instagram
bizarrap,115000000,0.08006956521739131,Instagram
blackpinkofficial,462000000,0.023809523809523808,Instagram
blakelively,32000000,0.25846875,Instagram
bleacherreport,184000000,0.005641304347826087,Instagram
blythe,134000000,0.01469402985074627,Instagram
bmw,331000000,0.0022084592145015106,Instagram
bn_sj2013,214000000,0.11682242990654206,Instagram
bobbyindaeyo,34000000,0.19973529411764707,Instagram
borodylia,182000000,0.0006758241758241759,Instagram
bramastavrl,237000000,0.004603375527426161,Instagram
brentrivera,221000000,0.04019457013574661,Instagram
bretmanrock,183000000,0.003010928961748634,Instagram
brfootball,119000000,0.001226890756302521,Instagram
briandadeyanara,126000000,0.02819047619047619,Instagram
brianmaps,58000000,0.10489655172413793,Instagram
britneyspears,402000000,0.004490049751243781,Instagram
brunamarquezine,426000000,0.011389671361502348,Instagram
brunomars,249000000,0.013200803212851405,Instagram
brycehall,75000000,0.037226666666666665,Instagram
bts.bighitofficial,617000000,0.03889789303079417,Instagram
bugatti,161000000,0.007708074534161491,Instagram
bumkeyk,9000000,0.4181111111111111,Instagram
burakozcivit,205000000,0.024039024390243902,Instagram
burcuozberk,9000000,0.6232222222222222,Instagram
bypamella,94000000,0.025287234042553192,Instagram
